,TimeStamp,VMID,MinCPU,MaxCPU,AvgCPU,subscriptionid,vmcreated,vmdeleted,lifetime,time_relative_seconds,lifetime_seconds,MaxCPU_so_far
0,0,QdbZeJFmsJ3euIQ4lwW63NwFEP+QIirT4QbI0jEGr4dpkOet8p3iQSHAEm1gKWnR,2.7579255,5.9884243,3.8238852,V0AP5z7oYKG/61mTS4S5joIMjTvhUv2z3WcosKIGSDxEbQw3fKkeb7MScY65MH/m,0,1729500,480.4166666666667,0.0,1729500,5.9884243
1,300,QdbZeJFmsJ3euIQ4lwW63NwFEP+QIirT4QbI0jEGr4dpkOet8p3iQSHAEm1gKWnR,2.6216803,4.720161,3.6248143,V0AP5z7oYKG/61mTS4S5joIMjTvhUv2z3WcosKIGSDxEbQw3fKkeb7MScY65MH/m,0,1729500,480.4166666666667,300.0,1729500,5.9884243
2,600,QdbZeJFmsJ3euIQ4lwW63NwFEP+QIirT4QbI0jEGr4dpkOet8p3iQSHAEm1gKWnR,3.227927,5.398028,3.9281156,V0AP5z7oYKG/61mTS4S5joIMjTvhUv2z3WcosKIGSDxEbQw3fKkeb7MScY65MH/m,0,1729500,480.4166666666667,600.0,1729500,5.9884243
3,900,QdbZeJFmsJ3euIQ4lwW63NwFEP+QIirT4QbI0jEGr4dpkOet8p3iQSHAEm1gKWnR,2.8671732,4.9911294,3.7578871,V0AP5z7oYKG/61mTS4S5joIMjTvhUv2z3WcosKIGSDxEbQw3fKkeb7MScY65MH/m,0,1729500,480.4166666666667,900.0,1729500,5.9884243
4,1200,QdbZeJFmsJ3euIQ4lwW63NwFEP+QIirT4QbI0jEGr4dpkOet8p3iQSHAEm1gKWnR,2.5099857,5.1417093,3.756088,V0AP5z7oYKG/61mTS4S5joIMjTvhUv2z3WcosKIGSDxEbQw3fKkeb7MScY65MH/m,0,1729500,480.4166666666667,1200.0,1729500,5.9884243
5,1500,QdbZeJFmsJ3euIQ4lwW63NwFEP+QIirT4QbI0jEGr4dpkOet8p3iQSHAEm1gKWnR,2.7707174,4.550016,3.6610959,V0AP5z7oYKG/61mTS4S5joIMjTvhUv2z3WcosKIGSDxEbQw3fKkeb7MScY65MH/m,0,1729500,480.4166666666667,1500.0,1729500,5.9884243
6,1800,QdbZeJFmsJ3euIQ4lwW63NwFEP+QIirT4QbI0jEGr4dpkOet8p3iQSHAEm1gKWnR,2.5951052,5.956716,4.288662,V0AP5z7oYKG/61mTS4S5joIMjTvhUv2z3WcosKIGSDxEbQw3fKkeb7MScY65MH/m,0,1729500,480.4166666666667,1800.0,1729500,5.9884243
7,2100,QdbZeJFmsJ3euIQ4lwW63NwFEP+QIirT4QbI0jEGr4dpkOet8p3iQSHAEm1gKWnR,2.5862708,4.522896,3.594412,V0AP5z7oYKG/61mTS4S5joIMjTvhUv2z3WcosKIGSDxEbQw3fKkeb7MScY65MH/m,0,1729500,480.4166666666667,2100.0,1729500,5.9884243
8,2400,QdbZeJFmsJ3euIQ4lwW63NwFEP+QIirT4QbI0jEGr4dpkOet8p3iQSHAEm1gKWnR,3.065733,5.64027,4.0194316,V0AP5z7oYKG/61mTS4S5joIMjTvhUv2z3WcosKIGSDxEbQw3fKkeb7MScY65MH/m,0,1729500,480.4166666666667,2400.0,1729500,5.9884243
9,2700,QdbZeJFmsJ3euIQ4lwW63NwFEP+QIirT4QbI0jEGr4dpkOet8p3iQSHAEm1gKWnR,2.6512449,4.664032,3.6354926,V0AP5z7oYKG/61mTS4S5joIMjTvhUv2z3WcosKIGSDxEbQw3fKkeb7MScY65MH/m,0,1729500,480.4166666666667,2700.0,1729500,5.9884243
